list_name | name | label | gov | order | sector
owning_entity | municipality | Municipality ??????? |  |  |
owning_entity | Ministry_Endowments | Ministry of Endowments ????? ??????? |  |  |
|  |  |  |  |
building_damage_status | fully_damaged | Totally Damaged |  |  |
building_damage_status | partially_damaged | Partially Damaged |  |  |
building_damage_status | committee_review | Committee Review |  |  |
|  |  |  |  |
building_visit_Status | 1 | Safe/ ??? ?? ???? ???  |  |  |
building_visit_Status | 2 | Not Safe / ??? ??? |  |  |
building_visit_Status | 3 | ????? ??? ????? ??? ??? /Part  removed   |  |  |
building_visit_Status | 4 | ????? ????? ???? / Debris removal  |  |  |
|  |  |  |  |
building_use | residential | Residential |  |  |
building_use | work | Work |  |  |
building_use | combined | Combined |  |  |
building_use | resort | Resort |  |  |
building_use | other | Other |  |  |
|  |  |  |  |
land_ownership | 1 | Owned / ??? |  |  |
land_ownership | 2 | Governmental/ ????? |  |  |
land_ownership | 3 | Awqaf / ????? |  |  |
|  |  |  |  |
building_status | stand_tobe_removed_totally | Stand But Needs To Be Totally Removed | ???? ?????? ????? ??????? |  |
building_status | stand_tobe_removed_partially | Stand But Needs To Be Partially Removed | ???? ?????? ????? ??? ??? |  |
building_status | dangerous | Dangerous | ???? ??? ??? ????????? |  |
building_status | rubble | Rubble | ???? |  |
building_status | removed | Removed | ??? ??????? |  |
building_status | stand_minor_ damage | Stand minor partial damage | ???? ??? ???? ???? |  |
building_status | other | Other | ???? |  |
|  |  |  |  |
roof_type | clay_tile | Clay Tile | ????? |  |
roof_type | concrete | Concrete | ????? |  |
roof_type | asbestos | Asbestos | ????? |  |
roof_type | secorite | Iron Sheets (Secorite) | ??? |  |
roof_type | other | Other | ???? |  |
|  |  |  |  |
|  |  |  |  |
service_status | functional | Functional  ???? |  |  |
service_status | partially_damaged3 | Partially damaged  ????? ?????? |  |  |
service_status | fully_damaged3 | Fully damaged  ????? ????? |  |  |
service_status | not_usable | Not usable  ??? ???? ????????? |  |  |
|  |  |  |  |
damage_status | no_damage | No damage ?? ???? ??? |  |  |
damage_status | damaged | Damaged ???? ??? |  |  |
|  |  |  |  |
finishing | not_finished | Unfinished | ??? ???? |  |
finishing | super_lux | Super Lux | ???? |  |
finishing | normal | Normal | ????? |  |
finishing | sub_normal | Sub_Normal | ??? ??????? |  |
|  |  |  |  |
basement_use | residential | Residential | ????? |  |
basement_use | work | Work | ????? |  |
basement_use | combined | Combined | ????? ?????? |  |
basement_use | unoccupied | Unoccupied | ???? |  |
basement_use | other | Other | ???? |  |
|  |  |  |  |
|  |  |  |  |
ground_floor_use | residential | Residential | ????? |  |
ground_floor_use | work | Work | ????? |  |
ground_floor_use | arch_canopy | Architectural Canopy | ???? |  |
ground_floor_use | other | Other | ???? |  |
|  |  |  |  |
work_area_use | used_by_owner | Utilized By Owner | ?????? ?? ??? ?????? |  |
work_area_use | unoccupied | Unoccupied | ????? |  |
work_area_use | rented | Rented | ??????? |  |
|  |  |  |  |
work_area_finishing | unfinished | Unfinished | ??? ???? |  |
work_area_finishing | super_lux | Super Lux | ???? |  |
work_area_finishing | normal | Normal | ????? |  |
work_area_finishing | sub_normal | Sub_Normal | ??? ??????? |  |
|  |  |  |  |
building_documents | idd | Id | ???? ?????? |  |
